eventId,sessionId,playbackSecond,playbackOffsetMs,sourceElapsedSecond,timestampOffsetMs,sourceSubjectVisit,sourceSequence,synthetic,demoOnly,class1Softmax,movingAverage10,class,alertLevel,alertAction,alertRequired,notificationEvent,triggerReason,scenarioPhase
1_1_010_V1-000,demo-1_1_010_V1,0.0,0,0,0,1_1_010_V1,1,True,True,0.999551,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-001,demo-1_1_010_V1,0.083,83,10,10000,1_1_010_V1,1,True,True,0.797834,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-002,demo-1_1_010_V1,0.167,167,20,20000,1_1_010_V1,2,True,True,0.596117,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-003,demo-1_1_010_V1,0.25,250,30,30000,1_1_010_V1,2,True,True,0.3944,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-004,demo-1_1_010_V1,0.333,333,40,40000,1_1_010_V1,2,True,True,0.296943,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-005,demo-1_1_010_V1,0.417,417,50,50000,1_1_010_V1,3,True,True,0.226429,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-006,demo-1_1_010_V1,0.5,500,60,60000,1_1_010_V1,3,True,True,0.155916,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-007,demo-1_1_010_V1,0.583,583,70,70000,1_1_010_V1,3,True,True,0.111176,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-008,demo-1_1_010_V1,0.667,667,80,80000,1_1_010_V1,3,True,True,0.084399,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-009,demo-1_1_010_V1,0.75,750,90,90000,1_1_010_V1,4,True,True,0.057622,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-010,demo-1_1_010_V1,0.833,833,100,100000,1_1_010_V1,4,True,True,0.079486,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-011,demo-1_1_010_V1,0.917,917,110,110000,1_1_010_V1,4,True,True,0.179404,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-012,demo-1_1_010_V1,1.0,1000,120,120000,1_1_010_V1,5,True,True,0.279321,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-013,demo-1_1_010_V1,1.083,1083,130,130000,1_1_010_V1,5,True,True,0.358845,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-014,demo-1_1_010_V1,1.167,1167,140,140000,1_1_010_V1,5,True,True,0.344559,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-015,demo-1_1_010_V1,1.25,1250,150,150000,1_1_010_V1,6,True,True,0.330273,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-016,demo-1_1_010_V1,1.333,1333,160,160000,1_1_010_V1,6,True,True,0.315988,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-017,demo-1_1_010_V1,1.417,1417,170,170000,1_1_010_V1,6,True,True,0.31228,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-018,demo-1_1_010_V1,1.5,1500,180,180000,1_1_010_V1,7,True,True,0.308863,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-019,demo-1_1_010_V1,1.583,1583,190,190000,1_1_010_V1,7,True,True,0.305446,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-020,demo-1_1_010_V1,1.667,1667,200,200000,1_1_010_V1,7,True,True,0.406101,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-021,demo-1_1_010_V1,1.75,1750,210,210000,1_1_010_V1,8,True,True,0.53822,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-022,demo-1_1_010_V1,1.833,1833,220,220000,1_1_010_V1,8,True,True,0.670338,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-023,demo-1_1_010_V1,1.917,1917,230,230000,1_1_010_V1,8,True,True,0.739588,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-024,demo-1_1_010_V1,2.0,2000,240,240000,1_1_010_V1,8,True,True,0.75994,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_010_V1-025,demo-1_1_010_V1,2.083,2083,250,250000,1_1_010_V1,9,True,True,0.780292,,0,none,none,False,False,window_warming_up,window_warming_up
